,label,MaxRank,Count1,Count2,Count3,Count4,Count5,BP1,BP2,BP3,BP4,BP5,Attack1,Attack2,Attack3,Attack4,Attack5,Turn1,Turn2,Turn3,Turn4,Turn5
247,MON_M072_A01a,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
248,MON_M072_B03a,5,0,6,33,93,192,4,4,4,4,4,57,58,59,61,63,0,0,0,0,0
249,MON_M072_B03a_A,5,0,6,36,101,208,3,3,3,3,3,22,23,24,25,26,0,0,0,0,0
250,MON_M072_B01a,5,0,5,31,85,176,5,5,5,5,5,42,43,44,45,47,0,0,0,0,0
251,MON_M080_A01a,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
252,MON_M080_A05a,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
253,MON_M080_A04a,5,0,6,33,93,192,4,4,4,4,4,38,39,40,41,42,0,0,0,0,0
254,MON_M080_A03a,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
255,MON_M081_A01a,5,0,7,42,116,240,1,1,1,1,1,19,20,21,22,23,0,0,0,0,0
256,MON_M081_A01a_A,5,0,7,42,116,240,1,1,1,1,1,19,20,21,22,23,0,0,0,0,0
257,MON_M081_A05a,5,0,7,39,109,224,2,2,2,2,2,23,24,25,26,27,0,0,0,0,0
258,MON_M081_A05a_A,5,0,7,42,116,240,1,1,1,1,1,16,17,18,19,20,0,0,0,0,0
259,MON_M081_A03a,5,0,6,33,93,192,4,4,4,4,4,33,34,35,36,37,0,0,0,0,0
260,MON_M081_A03a_A,5,0,6,36,101,208,3,3,3,3,3,27,28,29,30,31,0,0,0,0,0
261,MON_M082_A03a,5,0,7,39,109,224,2,2,2,2,2,42,43,44,45,47,0,0,0,0,0
262,MON_M082_A02a,5,0,7,42,116,240,1,1,1,1,1,22,23,24,25,26,0,0,0,0,0
263,MON_M090_A04a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
264,MON_M090_A01a,3,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
265,MON_M090_A02a,3,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
266,MON_M100_A01a,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
267,MON_M100_B01a,5,0,6,33,93,192,4,4,4,4,4,34,35,36,37,38,0,0,0,0,0
268,MON_M100_B01a_A,5,0,7,39,109,224,2,2,2,2,2,14,15,16,17,18,0,0,0,0,0
269,MON_M100_B02a,5,0,5,28,77,160,6,6,6,6,6,47,48,49,50,52,0,0,0,0,0
270,MON_M101_A01a,5,0,7,39,109,224,2,2,2,2,2,27,28,29,30,31,0,0,0,0,0
271,MON_M101_A04a,5,0,6,33,93,192,4,4,4,4,4,39,40,41,42,43,0,0,0,0,0
272,MON_M101_A02a,5,0,6,33,93,192,4,4,4,4,4,62,63,64,66,68,0,0,0,0,0
273,MON_M101_B01a,5,0,6,33,93,192,4,4,4,4,4,70,71,73,75,77,0,0,0,0,0
274,MON_M102_A03a,5,0,7,42,116,240,1,1,1,1,1,19,20,21,22,23,0,0,0,0,0
275,MON_M102_A08a,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
276,MON_M102_A04a,1,0,6,18,101,208,3,3,3,3,3,0,1,2,3,4,0,0,0,0,0
277,MON_M102_A06a,1,0,6,16,93,192,4,4,4,4,4,0,1,2,3,4,0,0,0,0,0
278,MON_M102_A01a,1,0,7,19,109,224,2,2,2,2,2,0,1,2,3,4,0,0,0,0,0
279,MON_M102_A07a,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
280,MAG_MG_A_01_Mo01,5,0,4,14,39,80,2,2,2,2,2,40,42,44,46,49,1,1,1,1,1
281,MAG_MG_A_02_Mo02,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
282,MAG_MG_A_03_Mo03,5,0,3,13,36,74,3,3,3,3,3,78,80,83,86,89,2,2,2,2,2
283,MAG_MG_A_04_Mo04,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
284,MAG_MG_A_05_Mo05,5,0,3,12,33,69,4,4,4,4,4,55,57,59,62,65,1,1,1,1,1
285,MAG_MG_B_01_Ka01,5,0,4,14,39,80,2,2,2,2,2,42,44,46,48,51,1,1,1,1,1
286,MAG_MG_B_02_Ka02,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
287,MAG_MG_B_03_Ka03,5,0,3,12,33,69,4,4,4,4,4,41,43,45,47,50,2,2,2,2,2
288,MAG_MG_B_04_Ka04,3,0,1,6,-36,-36,4,3,2,2,2,0,0,0,0,0,1,1,1,1,1
289,MAG_MG_B_05_Ka05,5,0,3,12,33,69,4,4,4,4,4,84,86,89,92,96,2,2,2,2,2
290,MAG_MG_C_01_Do01,5,0,4,14,39,80,2,2,2,2,2,33,35,37,39,41,1,1,1,1,1
291,MAG_MG_C_02_Do02,3,0,3,6,36,74,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
292,MAG_MG_C_03_Do03,5,0,3,12,33,69,4,4,4,4,4,37,39,41,43,45,2,2,2,2,2
293,MAG_MG_C_04_Do04,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
294,MAG_MG_C_05_Do05,5,0,3,12,33,69,4,4,4,4,4,30,32,34,36,38,1,1,1,1,1
295,MAG_MG_D_01_Ki01,5,0,4,14,39,80,2,2,2,2,2,41,43,45,47,50,1,1,1,1,1
296,MAG_MG_D_02_Ki02,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
297,MAG_MG_D_03_Ki03,5,0,3,12,33,69,4,4,4,4,4,39,41,43,45,47,2,2,2,2,2
298,MAG_MG_D_04_Ki04,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
299,MAG_MG_D_05_Ki05,5,0,3,11,30,63,5,5,5,5,5,52,54,56,59,62,2,2,2,2,2
300,MAG_MG_E_01_Su01,5,0,4,14,39,80,2,2,2,2,2,40,42,44,46,49,1,1,1,1,1
301,MAG_MG_E_02_Su02,3,0,1,6,-36,-36,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1
302,MAG_MG_E_03_Su03,5,0,3,13,36,74,3,3,3,3,3,51,53,55,58,61,1,1,1,1,1
303,MAG_MG_E_04_Su04,3,0,1,6,-36,-36,4,3,3,3,3,0,0,0,0,0,2,2,1,1,1
304,MAG_MG_E_05_Su05,5,0,3,11,30,63,5,5,5,5,5,50,52,54,57,60,2,2,2,2,2
305,OHS_WL000_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,27,28,29,30,31,0,0,0,0,0
306,OHS_WL000_A01_EX2,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
307,OHS_WL000_A02_EX1,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
308,OHS_WL000_A04_EX1,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
309,OHS_WL000_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
310,OHS_WLLSW_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
311,OHS_WLLSW_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,32,33,34,35,36,0,0,0,0,0
312,OHS_WLLSW_B03_EX1,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
313,OHS_WLLSW_B04_EX1,5,0,5,28,77,160,6,6,6,6,6,54,55,56,58,60,0,0,0,0,0
314,OHS_WLRAP_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,24,25,26,27,28,0,0,0,0,0
315,OHS_WLRAP_A02_EX1,5,0,6,36,101,208,3,3,3,3,3,26,27,28,29,30,0,0,0,0,0
316,OHS_WLRAP_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,16,17,18,19,20,0,0,0,0,0
317,OHS_WLRAP_B02_EX1,5,0,5,31,85,176,5,5,5,5,5,80,81,83,85,88,0,0,0,0,0
318,OHS_WLDAG_A01_EX1,5,0,6,36,101,208,3,3,3,3,3,39,40,41,42,43,0,0,0,0,0
319,OHS_WLDAG_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
320,OHS_WLDAG_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,60,61,62,64,66,0,0,0,0,0
321,OHS_WLDAG_B03_EX1,5,0,6,33,93,192,4,4,4,4,4,34,35,36,37,38,0,0,0,0,0
322,OHS_WLAXE_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,26,27,28,29,30,0,0,0,0,0
323,OHS_WLAXE_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
324,OHS_WLAXE_B02_EX1,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
325,OHS_WLAXE_B03_EX1,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
326,THS_WH000_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
327,THS_WH000_A01_EX2,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
328,THS_WH000_A02_EX1,5,0,6,36,101,208,3,3,3,3,3,53,54,55,57,59,0,0,0,0,0
329,THS_WH000_A04_EX1,5,0,5,31,85,176,5,5,5,5,5,49,50,51,52,54,0,0,0,0,0
330,THS_WH000_B01_EX1,5,0,4,25,70,144,7,7,7,7,7,33,34,35,36,37,0,0,0,0,0
331,THS_WHGSW_A01_EX1,5,0,6,36,101,208,3,3,3,3,3,42,43,44,45,47,0,0,0,0,0
332,THS_WHGSW_B01_EX1,5,0,6,33,93,192,4,4,4,4,4,41,42,43,44,46,0,0,0,0,0
333,THS_WHGSW_B02_EX1,5,0,6,36,101,208,3,3,3,3,3,36,37,38,39,40,0,0,0,0,0
334,THS_WHGSW_B03_EX1,5,0,5,31,85,176,5,5,5,5,5,56,57,58,60,62,0,0,0,0,0
335,THS_WHGSW_B04_EX1,5,0,5,28,77,160,6,6,6,6,6,58,59,60,62,64,0,0,0,0,0
336,THS_WHSSW_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
337,THS_WHSSW_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,45,46,47,48,50,0,0,0,0,0
338,THS_WHSSW_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,44,45,46,47,49,0,0,0,0,0
339,THS_WHSSW_B03_EX1,5,0,6,36,101,208,3,3,3,3,3,43,44,45,46,48,0,0,0,0,0
340,THS_WHSSW_B04_EX1,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
341,THS_WHPSW_A01_EX1,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
342,THS_WHPSW_B01_EX1,5,0,6,33,93,192,4,4,4,4,4,47,48,49,50,52,0,0,0,0,0
343,THS_WHPSW_B02_EX1,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
344,THS_WHPSW_B03_EX1,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
345,THS_WHPSW_B04_EX1,5,0,6,33,93,192,4,4,4,4,4,39,40,41,42,43,0,0,0,0,0
346,OHG_GL000_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
347,OHG_GL000_A01_EX2,5,0,7,42,116,240,1,1,1,1,1,19,20,21,22,23,0,0,0,0,0
348,OHG_GL000_A02_EX1,5,0,7,39,109,224,2,2,2,2,2,22,23,24,25,26,0,0,0,0,0
349,OHG_GL000_A04_EX1,5,0,7,39,109,224,2,2,2,2,2,21,22,23,24,25,0,0,0,0,0
350,OHG_GL000_A05_EX1,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
351,OHG_GL000_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,59,60,61,63,65,0,0,0,0,0
352,OHG_GL000_B03_EX1,5,0,6,33,93,192,4,4,4,4,4,33,34,35,36,37,0,0,0,0,0
353,OHG_GL000_B04_EX1,5,0,6,33,93,192,4,4,4,4,4,36,37,38,39,40,0,0,0,0,0
354,OHG_GL000_B05_EX1,5,0,5,31,85,176,5,5,5,5,5,36,37,38,39,40,0,0,0,0,0
355,OHG_GL000_B06_EX1,5,0,6,36,101,208,3,3,3,3,3,25,26,27,28,29,0,0,0,0,0
356,OHG_GL000_B08_EX1,5,0,5,31,85,176,5,5,5,5,5,43,44,45,46,48,0,0,0,0,0
357,THG_GH000_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
358,THG_GH000_A01_EX2,5,0,6,36,101,208,3,3,3,3,3,41,42,43,44,46,0,0,0,0,0
359,THG_GH000_A02_EX1,5,0,6,36,101,208,3,3,3,3,3,41,42,43,44,46,0,0,0,0,0
360,THG_GH000_A03_EX1,5,0,6,33,93,192,4,4,4,4,4,46,47,48,49,51,0,0,0,0,0
361,THG_GH000_A04_EX1,5,0,5,28,77,160,6,6,6,6,6,60,61,62,64,66,0,0,0,0,0
362,THG_GH000_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,40,41,42,43,45,0,0,0,0,0
363,THG_GH000_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,25,26,27,28,29,0,0,0,0,0
364,THG_GHMAC_A01_EX1,5,0,7,39,109,224,2,2,2,2,2,39,40,41,42,43,0,0,0,0,0
365,THG_GHMAC_B01_EX1,5,0,6,33,93,192,4,4,4,4,4,25,26,27,28,29,0,0,0,0,0
366,THG_GHMAC_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,56,57,58,60,62,0,0,0,0,0
367,THG_GHFLA_A01_EX1,5,0,6,33,93,192,4,4,4,4,4,93,94,96,98,101,0,0,0,0,0
368,THG_GHFLA_B01_EX1,5,0,6,33,93,192,4,4,4,4,4,82,83,85,87,90,0,0,0,0,0
369,THG_GHFLA_B02_EX1,5,0,6,36,101,208,3,3,3,3,3,43,44,45,46,48,0,0,0,0,0
370,THG_GHELE_A01_EX1,5,0,6,36,101,208,3,3,3,3,3,20,21,22,23,24,0,0,0,0,0
371,THG_GHELE_A02_EX1,5,0,6,33,93,192,4,4,4,4,4,46,47,48,49,51,0,0,0,0,0
372,THG_GHELE_B01_EX1,5,0,5,31,85,176,5,5,5,5,5,51,52,53,55,57,0,0,0,0,0
373,THG_GHBOM_A01_EX1,5,0,6,33,93,192,4,4,4,4,4,28,29,30,31,32,0,0,0,0,0
374,THG_GHBOM_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,40,41,42,43,45,0,0,0,0,0
375,THG_GHBOM_B02_EX1,5,0,5,31,85,176,5,5,5,5,5,29,30,31,32,33,0,0,0,0,0
376,THG_GHCHE_A01_EX1,5,0,6,33,93,192,4,4,4,4,4,46,47,48,49,51,0,0,0,0,0
377,THG_GHCHE_B01_EX1,5,0,6,36,101,208,3,3,3,3,3,38,39,40,41,42,0,0,0,0,0
378,THG_GHCHE_B02_EX1,5,0,5,31,85,176,5,5,5,5,5,52,53,54,56,58,0,0,0,0,0
379,MAR_MA000_A01_EX1,5,0,7,42,116,240,1,1,1,1,1,15,16,17,18,19,0,0,0,0,0
380,MAR_MA000_A07_EX1,5,0,7,39,109,224,2,2,2,2,2,23,24,25,26,27,0,0,0,0,0
381,MAR_MA000_B03_EX1,5,0,6,36,101,208,3,3,3,3,3,55,56,57,59,61,0,0,0,0,0
382,MAR_MA000_B06_EX1,5,0,6,36,101,208,3,3,3,3,3,28,29,30,31,32,0,0,0,0,0
383,MAR_MA000_B08_EX1,5,0,5,31,85,176,5,5,5,5,5,42,43,44,45,47,0,0,0,0,0
384,MAR_MA000_A02_EX1,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
385,MAR_MA000_A08_EX1,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
386,MAR_MA000_B01_EX1,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
387,MAR_MA000_B04_EX1,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
388,MAR_MA000_B07_EX1,5,0,5,28,77,160,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
389,MAR_MA000_A04_EX1,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
390,MAR_MA000_A06_EX1,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
391,MAR_MA000_A09_EX1,5,0,6,36,101,208,3,3,3,3,3,54,55,56,58,60,0,0,0,0,0
392,MAR_MA000_B02_EX1,5,0,6,33,93,192,4,4,4,4,4,41,42,43,44,46,0,0,0,0,0
393,MAR_MA000_B09_EX1,5,0,6,36,101,208,3,3,3,3,3,30,31,32,33,34,0,0,0,0,0
394,OHS_WL000_A04_BLD01,5,0,7,42,116,240,1,1,1,1,1,26,27,28,29,30,0,0,0,0,0
395,OHS_WL000_A04_BLD02,5,0,7,39,109,224,2,2,2,2,2,39,40,41,42,43,0,0,0,0,0
396,OHS_WL000_A04_BLD03,5,0,6,36,101,208,3,3,3,3,3,51,52,53,55,57,0,0,0,0,0
397,OHS_WL000_B01_BLD01,5,0,6,33,93,192,4,4,4,4,4,45,46,47,48,50,0,0,0,0,0
398,OHS_WL000_B01_BLD02,5,0,5,31,85,176,5,5,5,5,5,60,61,62,64,66,0,0,0,0,0
399,THS_WH000_A02_BLD03,5,0,6,36,101,208,3,3,3,3,3,88,89,91,93,96,0,0,0,0,0
400,THS_WH000_A04_BLD01,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
401,THS_WH000_A04_BLD02,5,0,5,31,85,176,5,5,5,5,5,67,68,70,72,74,0,0,0,0,0
402,THS_WH000_B01_BLD01,5,0,6,36,101,208,3,3,3,3,3,25,26,27,28,29,0,0,0,0,0
403,THS_WH000_B01_BLD02,5,0,6,33,93,192,4,4,4,4,4,28,29,30,31,32,0,0,0,0,0
404,OHG_GL000_B03_BLD01,5,0,6,36,101,208,3,3,3,3,3,23,24,25,26,27,0,0,0,0,0
405,OHG_GL000_B03_BLD02,5,0,6,33,93,192,4,4,4,4,4,32,33,34,35,36,0,0,0,0,0
406,OHG_GL000_B04_BLD01,5,0,7,42,116,240,1,1,1,1,1,17,18,19,20,21,0,0,0,0,0
407,OHG_GL000_B04_BLD02,5,0,6,33,93,192,4,4,4,4,4,39,40,41,42,43,0,0,0,0,0
408,OHG_GL000_B05_BLD01,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
409,THG_GH000_A02_BLD01,5,0,7,42,116,240,1,1,1,1,1,37,38,39,40,41,0,0,0,0,0
410,THG_GH000_A02_BLD02,5,0,6,36,101,208,3,3,3,3,3,48,49,50,51,53,0,0,0,0,0
411,THG_GH000_A03_BLD01,5,0,6,33,93,192,4,4,4,4,4,64,65,66,68,70,0,0,0,0,0
412,THG_GH000_B01_BLD01,5,0,7,39,109,224,2,2,2,2,2,41,42,43,44,46,0,0,0,0,0
413,THG_GH000_B02_BLD01,5,0,6,33,93,192,4,4,4,4,4,35,36,37,38,39,0,0,0,0,0
414,THG_GH000_B02_BLD02,5,0,5,31,85,176,5,5,5,5,5,35,36,37,38,39,0,0,0,0,0
415,MAR_MA000_B06_BLD01,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
416,MAR_MA000_B06_BLD02,5,0,6,36,101,208,3,3,3,3,3,38,39,40,41,42,0,0,0,0,0
417,MAR_MA000_B01_BLD01,5,0,7,42,116,240,1,1,1,1,1,22,23,24,25,26,0,0,0,0,0
418,MAR_MA000_B01_BLD02,5,0,6,33,93,192,4,4,4,4,4,43,44,45,46,48,0,0,0,0,0
419,MAR_MA000_B09_BLD01,5,0,6,36,101,208,3,3,3,3,3,83,84,86,88,91,0,0,0,0,0
420,OHS_WL000_A01_UN1,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
421,OHS_WL000_A01_UN2,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
422,OHS_WL000_A04_UN1,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
423,OHS_WLAXE_A01_UN1,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
424,THS_WH000_A01_UN1,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
425,THS_WH000_A02_UN1,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
426,THS_WHPSW_B01_UN1,5,0,6,36,101,208,3,3,3,3,3,40,41,42,43,45,0,0,0,0,0
427,OHG_GL000_B06_UN1,5,0,7,39,109,224,2,2,2,2,2,22,23,24,25,26,0,0,0,0,0
428,THG_GH000_A01_UN1,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
429,ARTS_001_UN,5,0,7,39,109,224,2,2,2,2,2,26,27,28,29,30,0,0,0,0,0
430,ARTS_002_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
431,ARTS_003_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
432,ARTS_004_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
433,ARTS_005_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
434,ARTS_006_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
435,ARTS_007_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
436,ARTS_008_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
437,ARTS_009_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
438,ARTS_010_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
439,ARTS_011_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
440,ARTS_012_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
441,ARTS_013_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
442,ARTS_014_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
443,ARTS_015_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
444,ARTS_016_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
445,ARTS_017_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
446,ARTS_018_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
447,ARTS_019_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
448,ARTS_020_UN,5,0,7,42,116,240,1,1,1,1,1,14,15,16,17,18,0,0,0,0,0
449,SOUL_E_M0700_A,5,0,7,39,109,224,2,2,2,2,2,30,31,32,33,34,0,0,0,0,0
450,SOUL_E_M0000_A,5,0,7,39,109,224,2,2,2,2,2,26,27,28,29,30,0,0,0,0,0
451,SOUL_E_M0310_A,3,0,3,36,999,999,3,2,1,1,1,100,100,100,100,100,0,0,0,0,0
452,SOUL_E_M0720_A,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
453,SOUL_E_M1000_A,5,0,6,36,101,208,3,3,3,3,3,60,61,62,64,66,0,0,0,0,0
454,SOUL_E_M0520_A,5,0,5,28,77,160,5,5,5,5,5,48,49,50,51,53,0,0,0,0,0
455,SOUL_E_M1020_A,5,0,6,36,101,208,3,3,3,3,3,36,37,38,39,40,0,0,0,0,0
456,SOUL_E_M0100_A,5,0,6,36,101,208,3,3,3,3,3,39,40,41,42,43,0,0,0,0,0
457,SOUL_E_M0010_A,3,0,3,33,999,999,4,3,2,2,2,75,75,75,75,75,0,0,0,0,0
458,SOUL_E_M0210_A,5,0,5,31,85,176,5,5,5,5,5,51,52,53,55,57,0,0,0,0,0
459,SOUL_E_M0410_A,5,0,6,36,101,208,3,3,3,3,3,21,22,23,24,25,0,0,0,0,0
460,SOUL_E_M2200_A,5,0,7,39,109,224,2,2,2,2,2,13,14,15,16,17,0,0,0,0,0
461,SOUL_E_M0800_A,5,0,7,39,109,224,2,2,2,2,2,26,27,28,29,30,0,0,0,0,0
462,SOUL_E_M0120_A,5,0,6,36,101,208,3,3,3,3,3,60,61,62,64,66,0,0,0,0,0
463,SOUL_E_M0300_A,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
464,SOUL_E_M0510_A,5,0,7,39,109,224,2,2,2,2,2,20,21,22,23,24,0,0,0,0,0
465,SOUL_E_M0820_A,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
466,SOUL_E_M2100_A,5,0,6,33,93,192,4,4,4,4,4,34,35,36,37,38,0,0,0,0,0
467,SOUL_E_M0230_A,5,0,7,42,116,240,1,1,1,1,1,30,31,32,33,34,0,0,0,0,0
468,SOUL_E_M0320_A,5,0,6,36,101,208,3,3,3,3,3,39,40,41,42,43,0,0,0,0,0
469,SOUL_E_M0220_A,5,0,7,39,109,224,2,2,2,2,2,34,35,36,37,38,0,0,0,0,0
470,SOUL_E_M0710_A,5,0,6,33,93,192,4,4,4,4,4,46,47,48,49,51,0,0,0,0,0
471,SOUL_E_M1010_A,5,0,5,31,85,176,5,5,5,5,5,58,59,60,62,64,0,0,0,0,0
472,SOUL_E_M0900_A,5,0,6,33,93,192,4,4,4,4,4,24,25,26,27,28,0,0,0,0,0
473,SOUL_E_M0400_A,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
474,SOUL_E_M2000_A,5,0,6,36,101,208,3,3,3,3,3,30,31,32,33,34,0,0,0,0,0
475,SOUL_E_M0500_A,5,0,6,33,93,192,4,4,4,4,4,38,39,40,41,42,0,0,0,0,0
476,SOUL_E_M0420_A,5,0,6,33,93,192,4,4,4,4,4,38,39,40,41,42,0,0,0,0,0
477,SOUL_E_M0110_A,5,0,5,31,85,176,5,5,5,5,5,49,50,51,52,54,0,0,0,0,0
478,SOUL_E_M0020_A,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
479,SOUL_E_M0810_A,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
480,SL_RB_A_01_IHA01,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
481,SL_RB_A_02_IHA02,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
482,SL_RB_A_03_IHA03,1,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
483,SL_RB_A_04_IHA04,1,0,3,19,999,999,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0
484,SL_RB_B_01_IHA05,1,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
485,SL_RB_B_02_IHA06,1,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
